judul,artist,file_audio,file_lirik,file_poster,tahun,genre 1,Era
Kenang,Base Jam,436,436,436,1997,Rock,1990'
Bermimpi,Base Jam,437,437,437,1996,Rock,1990'
Ulang Tahun,Base Jam,438,438,438,1997,Rock,1990'
Pantai,Base Jam,439,439,439,1997,Rock,1990'
Adik Kecil,Base Jam,440,440,440,1997,Rock,1990'
Orang Gila,Iwan Fals,441,441,441,1994,Rock,1990'
Awang - Awang,Iwan Fals,442,442,442,1994,Rock,1990'
Satu satu,Iwan Fals,443,443,443,1994,Rock,1990'
Lagu Cinta,Iwan Fals,444,444,444,1994,Rock,1990'
Doa Dalam Sunyi,Iwan Fals,445,445,445,1994,Rock,1990'
Lingkaran Hening,Iwan Fals,446,446,446,1994,Rock,1990'
Puisi Gelap,Iwan Fals,447,447,447,1994,Rock,1990'
Lingkaran Aku Cinta Padamu,Iwan Fals,448,448,448,1994,Rock,1990'
Dihatimu Aku Berlindung,Iwan Fals,449,449,449,1994,Rock,1990'
Anak Wayang,Iwan Fals,450,450,450,1994,Rock,1990'
Sandiwara Cinta,Nike Ardilla,451,451,451,1995,Pop,1990'
Deru Debu,Nike Ardilla,452,452,452,1995,Pop,1990'
kau Bukan Untukku,Nike Ardilla,453,453,453,1995,Pop,1990'
Sanggupkah Aku,Nike Ardilla,454,454,454,1995,Pop,1990'
Cintaku Suci,Nike Ardilla,455,455,455,1995,Pop,1990'
Menyibak Tirai Kelabu,Nike Ardilla,456,456,456,1995,Pop,1990'
Bila,Nike Ardilla,457,457,457,1995,Pop,1990'
Pudar,Nike Ardilla,458,458,458,1995,Pop,1990'
Bayang Dirimu,Nike Ardilla,459,459,459,1995,Pop,1990'
Menanti Kejujuran,Nike Ardilla,460,460,460,1995,Pop,1990'
Neraka Jahanam,Boomerang,461,461,461,1998,Rock,1990'
Berita Cuaca,Boomerang,462,462,462,1998,Rock,1990'
Kereta Laju,Boomerang,463,463,463,1998,Rock,1990'
Hidupku Sunyi,Boomerang,464,464,464,1998,Rock,1990'
Pahlawan yang Dilupakan,Boomerang,465,465,465,1998,Rock,1990'
Preman,Boomerang,466,466,466,1998,Rock,1990'
Kisah Seorang Pramuria,Boomerang,467,467,467,1998,Rock,1990'
Haus Dipadang Tandus,Boomerang,468,468,468,1998,Rock,1990'
Setan Tertawa,Boomerang,469,469,469,1998,Rock,1990'
Pro,Boomerang,470,470,470,1998,Rock,1990'
Gerangan Cinta,Java Jive,471,471,471,1995,Rock,1990'
Permataku,Java Jive,472,472,472,1995,Rock,1990'
Selingkuh,Java Jive,473,473,473,1995,Rock,1990'
Alissa,Java Jive,474,474,474,1995,Rock,1990'
Itu Juga Kata Orang,Java Jive,475,475,475,1995,Rock,1990'
Berhentilah,Java Jive,476,476,476,1995,Rock,1990'
Akankah,Java Jive,477,477,477,1995,Rock,1990'
Dia,Java Jive,478,478,478,1999,Rock,1990'
Anita,Java Jive,479,479,479,1999,Rock,1990'
Kau Yang Terindah,Java Jive,480,480,480,1999,Rock,1990'
Sesungguhnya,Vina Panduwinata,481,481,481,1995,Pop,1990'
Aku Makin Cinta,Vina Panduwinata,482,482,482,1995,Pop,1990'
Anak Wayang,Iwan Fals,483,483,483,1995,Pop,1990'
Samsara,Iwan Fals,484,484,484,1998,Pop,1990'
Rindu,Vina Panduwinata,485,485,485,1995,Pop,1990'
Mungkinkah,Vina Panduwinata,486,486,486,1995,Pop,1990'
Kau dan Aku,Vina Panduwinata,487,487,487,1995,Pop,1990'
Kembalilah Waktu,Vina Panduwinata,488,488,488,1995,Pop,1990'
Rasa Sayang itu Ada,Vina Panduwinata,489,489,489,1991,Pop,1990'
Aku Masih Cinta,Vina Panduwinata,490,490,490,1991,Pop,1990'
Keliru,Ruth Sahanaya,491,491,491,1999,Pop,1990'
Jangan Buang Waktu,Ruth Sahanaya,492,492,492,1999,Pop,1990'
Lagu Pemanjat,Iwan Fals,493,493,493,1999,Pop,1990'
Nyanyian Preman,Iwan Fals,494,494,494,1999,Rock,1990'
Panji Demokrasi,Iwan Fals,495,495,495,1999,Rock,1990'
Bunga Matahari,Iwan Fals,496,496,496,1999,Pop,1990'
Seandainya,Ruth Sahanaya,497,497,497,1999,Pop,1990'
Ingin Kumiliki,Ruth Sahanaya,498,498,498,1999,Pop,1990'
Bahasa Kalbu,Titi DJ,499,499,499,1999,Pop,1990'
Jangan Berhenti Mencintaiku,Titi DJ,500,500,500,1999,Pop,1990'
Let Go,Glenn Fredly,501,501,501,1998,Jazz,1990'
Mimpi Biru,Glenn Fredly,502,502,502,1998,Jazz,1990'
Mobil Mama,Glenn Fredly,503,503,503,1998,Jazz,1990'
Jangan Kau Pergi,Titi DJ,504,504,504,1999,Pop,1990'
Sangkala,Iwan Fals,505,505,505,1999,Pop,1990'
Hio,Iwan Fals,506,506,506,1999,Pop,1990'
Esok kan Masih ada,Glenn Fredly,507,507,507,1998,Jazz,1990'
Kuda Lumping,Iwan Fals,508,508,508,1998,Jazz,1990'
Cukup Sudah,Glenn Fredly,509,509,509,1998,Jazz,1990'
Kau,Glenn Fredly,510,510,510,1998,Jazz,1990'
Kau,Bunglon,511,511,511,1999,Jazz,1990'
Cerita Lalu,Bunglon,512,512,512,1999,Jazz,1990'
Antara Kita,Fariz RM,513,513,513,1992,Jazz,1990'
Bulan di Asia,Java Jazz,514,514,514,1994,Jazz,1990'
The Seeker,Java Jazz,515,515,515,1994,Jazz,1990'
Alam dan Seniku,Halmahera,516,516,516,1996,Jazz,1990'
Mungkin ini Cinta,Fariz RM,517,517,517,1992,Jazz,1990'
Biarkan Pergi,Fariz RM,518,518,518,1992,Jazz,1990'
Gejolak,Fariz RM,519,519,519,1992,Jazz,1990'
Kemenangan,Fariz RM,520,520,520,1992,Jazz,1990'
Sekitar Kita,Krakatau,521,521,521,1992,Jazz,1990'
Let There be Life,Krakatau,522,522,522,1992,Jazz,1990'
Satu Kembali,Krakatau,523,523,523,1992,Jazz,1990'
Untuk Sesama Kita,Krakatau,524,524,524,1992,Jazz,1990'
If Heaven is Like This,Krakatau,525,525,525,1992,Jazz,1990'
Love will Stand,Krakatau,526,526,526,1992,Jazz,1990'
Damai yang Hilang,Krakatau,527,527,527,1992,Jazz,1990'
Ternyata,Krakatau,528,528,528,1992,Jazz,1990'
Kebaya Merah,Iwan Fals,529,529,529,1994,Jazz,1990'
Kutemukan,Krakatau,530,530,530,1994,Jazz,1990'
Dahulu,The Groove,531,531,531,1999,Jazz,1990'
Sepi,The Groove,532,532,532,1999,Jazz,1990'
Satu Mimpiku,The Groove,533,533,533,1999,Jazz,1990'
Gadisku,The Groove,534,534,534,1999,Jazz,1990'
Hanya Karena Cinta,The Groove,535,535,535,1999,Jazz,1990'
Kuasa Cinta,The Groove,536,536,536,1999,Jazz,1990'
Khayalan,The Groove,537,537,537,1999,Jazz,1990'
Segenap Cintamu,The Groove,538,538,538,1999,Jazz,1990'
Bila,The Groove,539,539,539,1999,Jazz,1990'
Funkier Than Ever,The Groove,540,540,540,1999,Jazz,1990'
Aku Ingin,Indra Lesmana,541,541,541,2000,Jazz,1990'
Sydney,Indra Lesmana,542,542,542,2000,Jazz,1990'
Sama Saja,Indra Lesmana,543,543,543,2000,Jazz,1990'
Jalanku,Indra Lesmana,544,544,544,2000,Jazz,1990'
Visit Indonesia,Indra Lesmana,545,545,545,2000,Jazz,1990'
Azasi,Indra Lesmana,546,546,546,2000,Jazz,1990'
Sebelum Cinta Usai,Indra Lesmana,547,547,547,2000,Jazz,1990'
RIP,Indra Lesmana,548,548,548,2000,Jazz,1990'
Aurora,Indra Lesmana,549,549,549,2000,Jazz,1990'
Kau,Indra Lesmana,550,550,550,2000,Jazz,1990'
Cintailah Aku,Ab Three,551,551,551,1995,Pop,1990'
Bicaralah,Ab Three,552,552,552,1995,Pop,1990'
Takkan Berhenti,Ab Three,553,553,553,1995,Pop,1990'
Pertemuan Kita,Ab Three,554,554,554,1995,Pop,1990'
Cium Pipiku,Ab Three,555,555,555,1995,Pop,1990'
Robot Bernyawa,Iwan Fals,556,556,556,1995,Pop,1990'
Kerinduanku,Ab Three,557,557,557,1996,Pop,1990'
Berikan Untukmu,Ab Three,558,558,558,1996,Pop,1990'
Suaramu,Ab Three,559,559,559,1996,Pop,1990'
Kan Kucoba,Ab Three,560,560,560,1996,Rock,1990'
Selamat Tinggal,Five Minutes,561,561,561,1995,Rock,1990'
Arti Dirimu,Five Minutes,562,562,562,1995,Rock,1990'
ABG,Five Minutes,563,563,563,1995,Rock,1990'
Ku Kembali,Five Minutes,564,564,564,1995,Rock,1990'
Beken,Five Minutes,565,565,565,1995,Rock,1990'
Berdansa,Five Minutes,566,566,566,1995,Rock,1990'
Salam Darimu,Five Minutes,567,567,567,1995,Rock,1990'
Terima Kasih,Five Minutes,568,568,568,1995,Rock,1990'
Ku Berkhayal,Five Minutes,569,569,569,1996,Rock,1990'
Biarkanlah,Five Minutes,570,570,570,1996,Rock,1990'
Gelombang Kehidupan,Nicky Astria,571,571,571,1991,Rock,1990'
Bebas,Nicky Astria,572,572,572,1991,Rock,1990'
Serigala Berbulu Kelinci,Nicky Astria,573,573,573,1991,Rock,1990'
Seandainya Saja,Nicky Astria,574,574,574,1991,Rock,1990'
Rumah Kaca,Nicky Astria,575,575,575,1992,Rock,1990'
Permata Biru,Nicky Astria,576,576,576,1992,Rock,1990'
Rayuan Srigala,Nicky Astria,577,577,577,1992,Rock,1990'
Laba Laba Hitam,Nicky Astria,578,578,578,1992,Rock,1990'
Jarum Neraka,Nicky Astria,579,579,579,1992,Rock,1990'
Tertipu Lagi,Nicky Astria,580,580,580,1992,Rock,1990'
Terserah,Krisdayanti,581,581,581,1995,Pop,1990'
Berartinya Dirimu,Krisdayanti,582,582,582,1995,Pop,1990'
Penantian,Krisdayanti,583,583,583,1995,Pop,1990'
makin aku cinta,Krisdayanti,584,584,584,1995,Pop,1990'
Cinta,Krisdayanti,585,585,585,1995,Pop,1990'
Biar Cinta,Krisdayanti,586,586,586,1995,Pop,1990'
Sejenak,Krisdayanti,587,587,587,1995,Pop,1990'
Menghitung Hari,Krisdayanti,588,588,588,1995,Pop,1990'
Mencintaimu,Krisdayanti,589,589,589,1995,Pop,1990'
Tak Sanggup,Krisdayanti,590,590,590,1998,Pop,1990'
Belum Ada Judul,Iwan Fals,591,591,591,1992,Pop,1990'
Besar dan Kecil,Iwan Fals,592,592,592,1992,Pop,1990'
Iya atau Tidak,Iwan Fals,593,593,593,1992,Pop,1990'
Mereka Ada di Jalan,Iwan Fals,594,594,594,1992,Pop,1990'
Potret,Iwan Fals,595,595,595,1992,Pop,1990'
Di Mata Air Tidak Ada Air Mata,Iwan Fals,596,596,596,1992,Pop,1990'
Ikrar,Iwan Fals,597,597,597,1992,Pop,1990'
Aku Disini,Iwan Fals,598,598,598,1992,Pop,1990'
Mencetak Sawah,Iwan Fals,599,599,599,1992,Pop,1990'
Panggilan Dari Gunung,Iwan Fals,600,600,600,1992,Pop,1990'
Nona,Iwan Fals,601,601,601,1989,Pop,1980'
PHK,Iwan Fals,602,602,602,1989,Pop,1980'
Air Mata Api,Iwan Fals,603,603,603,1989,Pop,1980'
Mata Dewa,Iwan Fals,604,604,604,1989,Pop,1980'
Perempuan Malam,Iwan Fals,605,605,605,1989,Pop,1980'
Pinggiran Kota Besar,Iwan Fals,606,606,606,1989,Pop,1980'
Mata Indah Bola Pimpong,Iwan Fals,607,607,607,1987,Pop,1980'
Surat Buat Wakil Rakyat,Iwan Fals,608,608,608,1987,Pop,1980'
Emak,Iwan Fals,609,609,609,1987,Pop,1980'
Dimana,Iwan Fals,610,610,610,1987,Pop,1980'
Sore Tugu Pancoran,Iwan Fals,611,611,611,1985,Pop,1980'
Aku Antarkan,Iwan Fals,612,612,612,1985,Pop,1980'
Ujung Aspal Pondok Gede,Iwan Fals,613,613,613,1985,Pop,1980'
Tince Sukarti Binti Machmud,Iwan Fals,614,614,614,1985,Pop,1980'
Yang tersendiri,Iwan Fals,615,615,615,1985,Pop,1980'
Angan dan Angin,Iwan Fals,616,616,616,1985,Pop,1980'
Berapa,Iwan Fals,617,617,617,1985,Pop,1980'
Damai Kami Sepanjang Hari,Iwan Fals,618,618,618,1985,Pop,1980'
Ethiopia,Iwan Fals,619,619,619,1986,Pop,1980'
Sebelum Kau Bosan,Iwan Fals,620,620,620,1986,Pop,1980'
Orang Orang Terkucil,Ebiet G Ade,621,621,621,1986,Pop,1980'
Selingkuh,Ebiet G Ade,622,622,622,1986,Pop,1980'
Cinta Sebening Embun,Ebiet G Ade,623,623,623,1986,Pop,1980'
Isyu,Ebiet G Ade,624,624,624,1986,Pop,1980'
Opera Tukang Becak,Ebiet G Ade,625,625,625,1986,Pop,1980'
Instrumental Lagu Orang - orang Terkucil,Ebiet G Ade,626,626,626,1986,Pop,1980'
Kesaksian Anak Sampah,Ebiet G Ade,627,627,627,1986,Pop,1980'
Potret Anak Harapan,Ebiet G Ade,628,628,628,1986,Pop,1980'
Kita Hanya Bidak-bidak Catur,Ebiet G Ade,629,629,629,1986,Pop,1980'
Hemat Cintamu,Ebiet G Ade,630,630,630,1986,Pop,1980'
Kehidupan,God Bless,631,631,631,1988,Rock,1980'
Rumah Kita,God Bless,632,632,632,1988,Rock,1980'
Semut Hitam,God Bless,633,633,633,1988,Rock,1980'
Orang Dalam Kaca,God Bless,634,634,634,1988,Rock,1980'
Ogut Sumping,God Bless,635,635,635,1988,Rock,1980'
Suara Kita,God Bless,636,636,636,1988,Rock,1980'
Badut badut Jakarta,God Bless,637,637,637,1988,Rock,1980'
Trauma,God Bless,638,638,638,1988,Rock,1980'
Maret 1989,God Bless,639,639,639,1989,Rock,1980'
Menjilat Matahari,God Bless,640,640,640,1989,Rock,1980'
Kencana,Chrisye,641,641,641,1981,Pop,1980'
Sentuhanmu,Chrisye,642,642,642,1981,Pop,1980'
Desah Kalbu,Chrisye,643,643,643,1981,Pop,1980'
Kala Mega Kian Mendung,Chrisye,644,644,644,1981,Pop,1980'
Tragedi,Chrisye,645,645,645,1981,Pop,1980'
Tragedi Badai,Chrisye,646,646,646,1981,Pop,1980'
Putri Ayu,Chrisye,647,647,647,1981,Pop,1980'
Perkasa Manusia,Chrisye,648,648,648,1981,Pop,1980'
Hening,Chrisye,649,649,649,1981,Pop,1980'
Pantulan Cinta,Chrisye,650,650,650,1981,Pop,1980'
Dunia yang Kudamba,Vina Panduwinata,651,651,651,1982,Pop,1980'
September Ceria,Vina Panduwinata,652,652,652,1982,Pop,1980'
Rembulan,Vina Panduwinata,653,653,653,1982,Pop,1980'
Maaf,Vina Panduwinata,654,654,654,1982,Pop,1980'
Resah,Vina Panduwinata,655,655,655,1982,Pop,1980'
Nelayan Tua,Vina Panduwinata,656,656,656,1982,Pop,1980'
Masih Adakah Ceria,Vina Panduwinata,657,657,657,1982,Pop,1980'
Bunga Cinta,Vina Panduwinata,658,658,658,1982,Pop,1980'
Kasmaran,Vina Panduwinata,659,659,659,1982,Pop,1980'
Bisikku,Vina Panduwinata,660,660,660,1982,Pop,1980'
Diantara kata,Fariz RM,661,661,661,1981,Jazz,1980'
Sehari,Fariz RM,662,662,662,1981,Jazz,1980'
Penawar Rindu,Fariz RM,663,663,663,1981,Jazz,1980'
Dunia dibatas Senja,Fariz RM,664,664,664,1981,Jazz,1980'
Sendiri Malam ini,Fariz RM,665,665,665,1981,Jazz,1980'
Awal Kisah,Fariz RM,666,666,666,1981,Jazz,1980'
Sakura,Fariz RM,667,667,667,1984,Jazz,1980'
Kuberjanji,Fariz RM,668,668,668,1984,Jazz,1980'
Batas Rindu,Fariz RM,669,669,669,1984,Jazz,1980'
Nada Cinta,Fariz RM,670,670,670,1984,Jazz,1980'
Cemas,Emerald,671,671,671,1988,Jazz,1980'
Gaya Disco,Emerald,672,672,672,1988,Jazz,1980'
Ngeceng,Emerald,673,673,673,1988,Jazz,1980'
Malam itu Dingin,Emerald,674,674,674,1988,Jazz,1980'
Embun Pagi,Emerald,675,675,675,1988,Jazz,1980'
Percaya,Emerald,676,676,676,1988,Jazz,1980'
Letih,Emerald,677,677,677,1988,Jazz,1980'
Melangkah,Emerald,678,678,678,1988,Jazz,1980'
Mesra,Emerald,679,679,679,1988,Jazz,1980'
Bilyard,Emerald,680,680,680,1988,Jazz,1980'
Musik Rasta,Fariz RM,681,681,681,1985,Jazz,1980'
Arti,Fariz RM,682,682,682,1985,Jazz,1980'
Dua Dunia,Fariz RM,683,683,683,1985,Jazz,1980'
Nyanyian Malam,Fariz RM,684,684,684,1985,Jazz,1980'
Tak Ingin Kulepaskan Lagi,Fariz RM,685,685,685,1985,Jazz,1980'
Di Bayang bayang Asmara,Fariz RM,686,686,686,1985,Jazz,1980'
Jerat,Fariz RM,687,687,687,1985,Jazz,1980'
Bayangan Mimpi,Fariz RM,688,688,688,1985,Jazz,1980'
Kasus,Fariz RM,689,689,689,1987,Jazz,1980'
Gemas Gelisah,Fariz RM,690,690,690,1987,Jazz,1980'
Semakin Menawan,Indra Lesmana,691,691,691,1986,Jazz,1980'
Ulurkan Tanganmu,Indra Lesmana,692,692,692,1986,Jazz,1980'
Raihlah,Indra Lesmana,693,693,693,1986,Jazz,1980'
Dirimu,Indra Lesmana,694,694,694,1986,Jazz,1980'
Sebaris Kata Kata,Indra Lesmana,695,695,695,1986,Jazz,1980'
Yang Mana,Indra Lesmana,696,696,696,1986,Jazz,1980'
Ingkar,Indra Lesmana,697,697,697,1986,Jazz,1980'
Pandangan Perdana,Indra Lesmana,698,698,698,1986,Jazz,1980'
Jari Jemari,Indra Lesmana,699,699,699,1986,Jazz,1980'
Sepi,Indra Lesmana,700,700,700,1986,Jazz,1980'
Cintaku Abadi,Ermy Kullit,701,701,701,1984,Jazz,1980'
Pesona,Ermy Kullit,702,702,702,1984,Jazz,1980'
Tanda Mata,Ermy Kullit,703,703,703,1984,Jazz,1980'
Kau,Ermy Kullit,704,704,704,1984,Jazz,1980'
Tabir Hidupmu,Ermy Kullit,705,705,705,1984,Jazz,1980'
Kunanti Kau Kasih,Ermy Kullit,706,706,706,1984,Jazz,1980'
Hari ini,Ermy Kullit,707,707,707,1984,Jazz,1980'
Sepi,Ermy Kullit,708,708,708,1984,Jazz,1980'
Mengapa Harus Hitam,Ermy Kullit,709,709,709,1984,Jazz,1980'
Kasih,Ermy Kullit,710,710,710,1986,Jazz,1980'
Tersiksa Lagi,Utha Likumahuwa,711,711,711,1982,Jazz,1980'
Kenikmatan Tersendiri,Utha Likumahuwa,712,712,712,1982,Jazz,1980'
Pertama Kali,Utha Likumahuwa,713,713,713,1982,Jazz,1980'
Hanyalah Engkau,Utha Likumahuwa,714,714,714,1982,Jazz,1980'
Disini Aku,Utha Likumahuwa,715,715,715,1982,Jazz,1980'
F 15,Utha Likumahuwa,716,716,716,1982,Jazz,1980'
Dendam dan Cinta,Utha Likumahuwa,717,717,717,1982,Jazz,1980'
Adakah Kau Tahu,Utha Likumahuwa,718,718,718,1982,Jazz,1980'
Kau,Utha Likumahuwa,719,719,719,1982,Jazz,1980'
Mimpi,Utha Likumahuwa,720,720,720,1982,Jazz,1980'
Judi,Rhoma Irama,721,721,721,1988,Pop,1980'
Dasi dan Gincu,Rhoma Irama,722,722,722,1988,Pop,1980'
Penyakit Cinta,Rhoma Irama,723,723,723,1988,Pop,1980'
Hatimu Hatiku,Rhoma Irama,724,724,724,1988,Pop,1980'
Harga Diri,Rhoma Irama,725,725,725,1988,Pop,1980'
Emansipasi Wanita,Rhoma Irama,726,726,726,1984,Pop,1980'
Modern,Rhoma Irama,727,727,727,1984,Pop,1980'
Nasib Bunga,Rhoma Irama,728,728,728,1984,Pop,1980'
Lagi Lagi Cinta,Rhoma Irama,729,729,729,1984,Pop,1980'
Nilai Sehat,Rhoma Irama,730,730,730,1984,Pop,1980'
Risau,Achmad Albar,731,731,731,1983,Rock,1980'
Asmaraku,Achmad Albar,732,732,732,1983,Rock,1980'
Kasih - Lady,Achmad Albar,733,733,733,1983,Rock,1980'
Dewi Cinta,Achmad Albar,734,734,734,1983,Rock,1980'
Hari-hari Jenuhku,Achmad Albar,735,735,735,1983,Rock,1980'
Lampu Disco,Achmad Albar,736,736,736,1983,Rock,1980'
Cita Kebebasan,Achmad Albar,737,737,737,1983,Rock,1980'
Tinggi,Achmad Albar,738,738,738,1983,Rock,1980'
Sebuah Rahasia,Achmad Albar,739,739,739,1983,Rock,1980'
Scenario,Achmad Albar,740,740,740,1983,Rock,1980'
Bisik Iblis,Achmad Albar,741,741,741,1983,Rock,1980'
Bukan Ambisi,Achmad Albar,742,742,742,1983,Rock,1980'
Dilemma,Achmad Albar,743,743,743,1983,Rock,1980'
Harapan,Achmad Albar,744,744,744,1983,Rock,1980'
Kau Untukku,Achmad Albar,745,745,745,1983,Rock,1980'
Kini Saatnya,Achmad Albar,746,746,746,1983,Rock,1980'
Langkahkan Pasti,Achmad Albar,747,747,747,1983,Rock,1980'
Suasana Penggugah Hati,Achmad Albar,748,748,748,1983,Rock,1980'
Garis Anganmu,Achmad Albar,749,749,749,1981,Rock,1980'
Ratap Dahana,Achmad Albar,750,750,750,1981,Rock,1980'
Buku ini Aku Pinjam,Iwan Fals,751,751,751,1988,Pop,1980'
Ada lagi yang mati,Iwan Fals,752,752,752,1988,Pop,1980'
Ibu,Iwan Fals,753,753,753,1988,Pop,1980'
Mimpi yang Terbeli,Iwan Fals,754,754,754,1988,Pop,1980'
Balada orang pedalaman,Iwan Fals,755,755,755,1988,Pop,1980'
Nak II,Iwan Fals,756,756,756,1988,Pop,1980'
Semoga Kau Benar,Iwan Fals,757,757,757,1988,Pop,1980'
Engkau Tetap Sahabatku,Iwan Fals,758,758,758,1988,Pop,1980'
Pesawat Tempurku,Iwan Fals,759,759,759,1988,Pop,1980'
1910,Iwan Fals,760,760,760,1988,Pop,1980'
Aku Sayang Kamu,Iwan Fals,761,761,761,1986,Pop,1980'
Gali Gongli,Iwan Fals,762,762,762,1986,Pop,1980'
Timur Tengah I,Iwan Fals,763,763,763,1986,Pop,1980'
Jangan Tutup Dirimu,Iwan Fals,764,764,764,1986,Pop,1980'
Selamat Tinggal Malam,Iwan Fals,765,765,765,1986,Pop,1980'
Kota,Iwan Fals,766,766,766,1986,Pop,1980'
Lancar,Iwan Fals,767,767,767,1987,Pop,1980'
Kereta Tua,Iwan Fals,768,768,768,1987,Pop,1980'
Kuli Jalan,Iwan Fals,769,769,769,1987,Pop,1980'
Yakinlah,Iwan Fals,770,770,770,1987,Pop,1980'
Selamat Pagi Indonesia,God Bless,771,771,771,1980,Rock,1980'
Cermin,God Bless,772,772,772,1980,Rock,1980'
Musisi,God Bless,773,773,773,1980,Rock,1980'
Balada Sejuta Wajah,God Bless,774,774,774,1980,Rock,1980'
Anak Adam,God Bless,775,775,775,1980,Rock,1980'
Insan Sesat,God Bless,776,776,776,1980,Rock,1980'
Ingat,God Bless,777,777,777,1980,Rock,1980'
Tuan Tanah,God Bless,778,778,778,1980,Rock,1980'
Cendawan Kuning,God Bless,779,779,779,1989,Rock,1980'
Anak Kehidupan,God Bless,780,780,780,1989,Rock,1980'
Bahasa Cinta,Broery,781,781,781,1987,Pop,1980'
Kirimkanlah Berita,Broery,782,782,782,1987,Pop,1980'
Tragedi Cinta,Broery,783,783,783,1987,Pop,1980'
Mungkinkah,Broery,784,784,784,1987,Pop,1980'
Senja Kelabu,Broery,785,785,785,1987,Pop,1980'
Percayalah,Broery,786,786,786,1987,Pop,1980'
Untukmu,Broery,787,787,787,1987,Pop,1980'
Untuk Apa Lagi,Broery,788,788,788,1987,Pop,1980'
Selamat Datang Anakku,Chrisye,789,789,789,1984,Pop,1980'
Lagu Untukmu,Chrisye,790,790,790,1984,Pop,1980'
Sarjana Kaki Lima,Chrisye,791,791,791,1984,Pop,1980'
Salam Hangat,Chrisye,792,792,792,1984,Pop,1980'
Biarkan Ku Sejenak,Chrisye,793,793,793,1984,Pop,1980'
Sayang,Chrisye,794,794,794,1984,Pop,1980'
Nona,Chrisye,795,795,795,1984,Pop,1980'
Gadis Manja,Chrisye,796,796,796,1984,Pop,1980'
Hilangnya Sebuah Pribadi,Chrisye,797,797,797,1984,Pop,1980'
Kisah Insani,Chrisye,798,798,798,1984,Pop,1980'
Windy,Chrisye,799,799,799,1984,Pop,1980'
Aku dan Dia,Chrisye,800,800,800,1984,Pop,1980'
Nusantara,Koes Plus,801,801,801,1971,Pop,1970'
Penyesalan,Koes Plus,802,802,802,1971,Pop,1970'
Perasaan Tjintaku,Koes Plus,803,803,803,1971,Pop,1970'
Musik Disekelilingku,Koes Plus,804,804,804,1971,Pop,1970'
Hanja Temanku,Koes Plus,805,805,805,1971,Pop,1970'
Sonya,Koes Plus,806,806,806,1971,Pop,1970'
Menanti,Koes Plus,807,807,807,1971,Pop,1970'
Hari yang Indah,Koes Plus,808,808,808,1971,Pop,1970'
Hari ini dan Nanti,Koes Plus,809,809,809,1971,Pop,1970'
Njanjian Malam,Koes Plus,810,810,810,1971,Pop,1970'
Mari Mari,Koes Plus,811,811,811,1973,Pop,1970'
Malam yang Indah,Koes Plus,812,812,812,1973,Pop,1970'
Lihat Jendelaku,Koes Plus,813,813,813,1973,Pop,1970'
Pengakuan,Koes Plus,814,814,814,1973,Pop,1970'
Rasa Sedih Tiada Arti,Koes Plus,815,815,815,1973,Pop,1970'
Inikali,Koes Plus,816,816,816,1973,Pop,1970'
Cinta Abadi,Koes Plus,817,817,817,1973,Pop,1970'
Mengapa,Koes Plus,818,818,818,1973,Pop,1970'
Seminggu yang Lalu,Koes Plus,819,819,819,1973,Pop,1970'
Pelangi,Koes Plus,820,820,820,1973,Pop,1970'
Kerinduan,Koes Plus,821,821,821,1972,Pop,1970'
Ibu dan Lagunya,Koes Plus,822,822,822,1972,Pop,1970'
Oh Kasihku,Koes Plus,823,823,823,1972,Pop,1970'
Waktu Cepat Berlalu,Koes Plus,824,824,824,1972,Pop,1970'
Hidup Tanpa Cinta,Koes Plus,825,825,825,1972,Pop,1970'
Tiada Jalan Lagi,Koes Plus,826,826,826,1972,Pop,1970'
Bukan Rahasia,Koes Plus,827,827,827,1972,Pop,1970'
Diana,Koes Plus,828,828,828,1973,Pop,1970'
Desember,Koes Plus,829,829,829,1973,Pop,1970'
Mana Hatimu,Koes Plus,830,830,830,1973,Pop,1970'
Buat Apa Susah,Koes Plus,831,831,831,1973,Pop,1970'
Bimbi,The Rollies,832,832,832,1978,Jazz,1970'
Malam Minggu,The Rollies,833,833,833,1978,Jazz,1970'
Dilembah Rasa,The Rollies,834,834,834,1978,Jazz,1970'
Cinta Remaja,The Rollies,835,835,835,1978,Jazz,1970'
Dua yang Tersisa,The Rollies,836,836,836,1978,Jazz,1970'
Hari hari,The Rollies,837,837,837,1978,Jazz,1970'
Senyum Kebahagiaan,The Rollies,838,838,838,1978,Jazz,1970'
Ciptakan Cinta yang Abadi,The Rollies,839,839,839,1978,Jazz,1970'
Hanya Bila Haus Dipandang Tandus,The Rollies,840,840,840,1973,Jazz,1970'
Muda Mudi,Koes Plus,841,841,841,1973,Pop,1970'
Layang Layang,Koes Plus,842,842,842,1973,Pop,1970'
Jangan Cemburu,Koes Plus,843,843,843,1973,Pop,1970'
Terlambat,Koes Plus,844,844,844,1973,Pop,1970'
O La La,Koes Plus,845,845,845,1973,Pop,1970'
Main Belakang,Koes Plus,846,846,846,1973,Pop,1970'
Hatiku Beku,Koes Plus,847,847,847,1973,Pop,1970'
Nusantara III,Koes Plus,848,848,848,1973,Pop,1970'
Kau Bina Hidup Baru,Koes Plus,849,849,849,1973,Pop,1970'
Desaku,Koes Plus,850,850,850,1973,Pop,1970'
Berita Kepada Kawan,Ebiet G Ade,851,851,851,1979,Pop,1970'
